time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,-0.1125,-0.0083,0.085,0.141
0.02,-0.1153,0.0088,0.0971,0.151
0.04,-0.1053,0.0137,0.0883,0.138
0.06,-0.0535,0.0159,0.0765,0.095
0.08,-0.0444,-0.0323,0.0006,0.055
0.1,-0.0508,-0.0382,-0.0067,0.064
0.12,-0.0295,-0.0259,-0.0168,0.043
0.14,-0.0833,0.0028,0.0277,0.088
0.16,-0.1608,0.0158,0.064,0.174
0.18,-0.117,-0.0,0.0607,0.132
0.2,-0.0546,0.0039,0.0072,0.055
0.22,-0.0226,-0.026,-0.0165,0.038
0.24,-0.0393,-0.022,-0.0462,0.064
0.26,-0.0414,-0.0506,-0.0031,0.065
0.28,0.0226,-0.0297,0.0632,0.073
0.3,-0.0277,0.0199,0.0628,0.071
0.32,0.0589,-0.1133,0.2113,0.247
0.34,0.1377,-0.3117,0.0679,0.348
0.36,0.0997,-0.2619,0.0026,0.28
0.38,-0.0771,-0.086,-0.0285,0.119
0.4,-0.1464,0.0317,-0.2424,0.285
0.42,-0.158,0.2163,-0.3132,0.412
0.44,-0.1515,0.3637,-0.2554,0.47
0.46,-0.1868,0.3032,-0.0251,0.357
0.48,-0.1673,0.2529,0.0547,0.308
0.5,-0.0529,0.12,-0.0804,0.154
0.52,-0.0182,-0.2671,0.1027,0.287
0.54,0.0579,-0.4817,0.2608,0.551
0.56,0.2253,-0.4658,0.0472,0.52
0.58,0.2504,-0.2956,-0.2522,0.462
0.6,-0.2809,-0.0714,-0.2443,0.379
0.62,-0.5044,0.1485,0.2647,0.589
0.64,-0.5389,0.2984,0.4585,0.768
0.66,-0.4808,0.3472,0.291,0.661
0.68,-0.3463,0.2366,-0.1046,0.432
0.7,-0.1366,-0.0914,0.0461,0.171
0.72,0.0475,-0.2936,-0.1427,0.33
0.74,0.1143,-0.3565,-0.2696,0.461
0.76,0.1141,-0.1268,-0.3627,0.401
0.78,-0.0127,0.0645,-0.3686,0.374
0.8,-0.1149,0.1437,-0.1226,0.221
0.82,-0.1841,0.1179,-0.025,0.22
0.84,-0.2469,-0.0113,-0.1687,0.299
0.86,-0.1195,0.0144,-0.0987,0.156
0.88,0.134,0.1606,-0.0903,0.228
0.9,0.2049,0.0472,-0.1063,0.236
0.92,0.0803,0.0904,-0.2685,0.294
0.94,-0.6506,0.3396,-0.0392,0.735
0.96,-0.6104,0.021,0.3082,0.684
0.98,-0.1345,-0.1252,0.3149,0.365
1.0,0.3188,-0.1747,-0.1689,0.401
1.02,0.1227,-0.249,-0.1231,0.304
1.04,-0.4332,0.0705,0.3305,0.549
1.06,0.0274,0.0998,0.3622,0.377
1.08,-0.0052,-0.044,0.222,0.226
1.1,-0.1621,-0.025,0.3675,0.402
1.12,0.048,0.0066,0.5716,0.574
1.14,-0.1084,-0.0642,0.5868,0.6
1.16,-0.1124,-0.1363,0.0769,0.193
1.18,0.0269,-0.1209,-0.4393,0.456
1.2,-0.3019,0.1295,-0.6057,0.689
1.22,-0.1161,0.3598,-0.0103,0.378
1.24,0.0743,0.6342,0.5589,0.849
1.26,-1.633,-0.4228,-0.3904,1.731
1.28,-1.006,0.1068,-0.0931,1.016
1.3,-0.072,0.1167,-0.655,0.669
1.32,0.7513,-0.2167,-0.5506,0.956
1.34,0.8015,-0.4826,-0.328,0.991
1.36,0.5179,-0.3224,-0.1058,0.619
1.38,0.0652,0.0622,0.3372,0.349
1.4,-0.1093,0.3458,0.9056,0.976
1.42,-0.2521,0.1645,0.9988,1.043
1.44,-0.2625,0.0318,0.7571,0.802
1.46,-0.2432,-0.0065,0.2238,0.331
1.48,-0.1885,-0.0637,0.0181,0.2
1.5,-0.1223,0.026,0.0813,0.149
1.52,-0.0213,0.0764,0.0267,0.084
1.54,0.0408,-0.1164,0.0873,0.151
1.56,0.0369,-0.2444,0.15,0.289
1.58,0.0277,-0.2531,-0.0149,0.255
1.6,0.1645,-0.0283,-0.1861,0.25
1.62,0.1807,0.3021,-0.3653,0.507
1.64,-0.0761,0.3979,-0.3956,0.566
1.66,-0.2612,0.2548,-0.151,0.395
1.68,-0.1009,0.0298,0.0598,0.121
1.7,-0.0998,-0.091,-0.012,0.136
1.72,-0.1656,-0.1682,0.0623,0.244
1.74,-0.1921,-0.0878,0.1052,0.236
1.76,-0.0047,-0.1004,0.3034,0.32
1.78,0.1717,-0.0766,0.2401,0.305
1.8,0.0082,-0.0304,0.2095,0.212
1.82,-0.0716,0.0824,0.3032,0.322
1.84,0.0632,0.1043,0.1805,0.218
1.86,0.0381,-0.0069,0.0802,0.089
1.88,-0.022,-0.0622,0.0357,0.075
1.9,-0.0689,-0.0081,-0.0353,0.078
1.92,-0.1075,0.0012,0.0506,0.119
1.94,-0.0285,0.0143,0.0007,0.032
1.96,-0.0663,0.0266,0.0134,0.073
1.98,-0.1264,0.0287,0.1034,0.166
2.0,-0.1699,0.0265,0.1672,0.24
2.02,-0.1002,0.0283,0.0967,0.142
2.04,-0.0706,0.0539,0.1152,0.145
2.06,-0.0432,0.0465,-0.0017,0.063
2.08,-0.0046,0.0832,0.0125,0.084
2.1,0.0146,0.142,-0.014,0.143
2.12,-0.1327,-0.0441,0.0047,0.14
2.14,-0.1833,-0.2353,0.0652,0.305
2.16,-0.1161,-0.1604,-0.0138,0.198
2.18,-0.0208,0.0178,-0.0741,0.079
2.2,-0.0178,0.0656,0.1107,0.13
2.22,-0.0511,-0.06,0.0668,0.103
2.24,-0.0905,-0.0758,-0.0397,0.125
2.26,-0.0732,0.035,0.0012,0.081
2.28,-0.1184,0.0345,0.054,0.135
2.3,-0.1297,-0.0154,0.0696,0.148
2.32,-0.0715,-0.0762,0.008,0.105
2.34,-0.0223,-0.088,-0.0385,0.099
2.36,-0.0264,-0.0485,0.0273,0.062
2.38,-0.0269,-0.0541,-0.0191,0.063
2.4,-0.0213,0.0079,-0.0473,0.052
2.42,-0.0899,0.0232,-0.0103,0.093
2.44,-0.1528,0.0289,0.098,0.184
2.46,-0.1298,0.0168,0.1173,0.176
2.48,-0.1061,-0.0102,0.0104,0.107
2.5,-0.0305,0.0258,0.006,0.04
2.52,-0.0768,0.0955,0.0485,0.132
2.54,-0.0949,0.0858,0.0462,0.136
2.56,-0.0544,0.0364,-0.0029,0.066
2.58,-0.0392,0.0447,-0.0256,0.065
2.6,-0.1047,0.0236,0.0254,0.11
2.62,-0.0729,-0.0896,-0.0393,0.122
2.64,0.0283,-0.1177,0.0026,0.121
2.66,-0.0407,-0.0491,0.0358,0.073
2.68,-0.1009,0.032,0.0545,0.119
2.7,-0.1697,0.0929,0.0715,0.206
2.72,-0.1617,0.0318,0.0029,0.165
2.74,-0.0725,-0.0375,-0.082,0.116
2.76,-0.015,-0.0443,-0.1015,0.112
2.78,-0.0216,0.0078,-0.0161,0.028
2.8,-0.0926,-0.0018,0.0837,0.125
2.82,-0.1165,-0.0308,0.0348,0.125
2.84,-0.1006,-0.014,0.0258,0.105
2.86,-0.0774,-0.0628,0.0222,0.102
2.88,-0.0911,-0.0786,0.0578,0.133
2.9,-0.0936,-0.0576,0.0374,0.116
2.92,-0.0778,0.0024,0.0026,0.078
2.94,-0.0418,0.086,-0.0739,0.121
2.96,-0.0714,0.0977,0.0101,0.121
2.98,-0.1049,0.0254,0.0779,0.133
3.0,-0.129,0.0085,0.1005,0.164
3.02,-0.0974,-0.0161,0.0772,0.125
3.04,-0.0742,-0.0699,-0.0,0.102
3.06,-0.0929,-0.0509,-0.003,0.106
3.08,-0.0666,0.016,-0.0133,0.07
3.1,-0.0224,0.0667,-0.0946,0.118
3.12,-0.0642,0.0365,-0.0206,0.077
3.14,-0.0907,0.0179,0.075,0.119
3.16,-0.0744,-0.0612,0.0421,0.105
3.18,-0.0478,-0.0521,0.0229,0.074
3.2,-0.0814,-0.0406,0.0419,0.1
3.22,-0.0701,-0.0154,-0.0113,0.073
3.24,-0.0495,0.002,-0.1676,0.175
3.26,-0.1122,0.0793,-0.1406,0.197
3.28,-0.1053,-0.0383,-0.1581,0.194
3.3,0.0416,-0.0985,0.032,0.112
3.32,0.0073,-0.1415,0.2995,0.331
3.34,-0.1525,-0.0733,0.4154,0.449
3.36,-0.1967,-0.0056,0.2484,0.317
3.38,-0.0841,0.094,-0.0769,0.148
3.4,-0.0577,0.1328,-0.2265,0.269
3.42,-0.0611,0.0636,-0.0668,0.111
3.44,-0.1141,-0.0656,0.1569,0.205
3.46,-0.1727,-0.0888,0.182,0.266
3.48,-0.1263,0.0183,0.0187,0.129
3.5,-0.056,0.0725,-0.0679,0.114
3.52,-0.0566,0.0581,-0.097,0.126
3.54,-0.0594,0.0261,-0.0678,0.094
3.56,-0.1052,-0.0379,0.0125,0.112
3.58,-0.0942,-0.0806,0.0197,0.126
3.6,-0.1096,-0.0274,0.0727,0.134
3.62,-0.0608,0.029,0.071,0.098
3.64,-0.0854,-0.0299,0.0402,0.099
3.66,-0.0422,-0.0527,-0.0008,0.068
3.68,-0.0831,0.0112,0.0263,0.088
3.7,-0.0924,0.0567,0.0691,0.129
3.72,-0.1635,0.0168,0.1211,0.204
3.74,-0.1616,0.0013,0.1355,0.211
3.76,-0.0615,-0.0788,-0.011,0.101
3.78,0.0409,-0.0826,-0.0805,0.122
3.8,0.0374,-0.0033,-0.0155,0.041
3.82,-0.0674,0.0455,0.0879,0.12
3.84,-0.0569,0.0066,0.0747,0.094
3.86,-0.1402,0.0116,0.0581,0.152
3.88,-0.0643,0.0085,0.0232,0.069
3.9,0.0416,-0.0494,-0.1122,0.129
3.92,0.0689,-0.0139,-0.1454,0.161
3.94,0.0631,0.0144,-0.1037,0.122
3.96,0.078,-0.0131,-0.0953,0.124
3.98,-0.0798,0.0187,0.1342,0.157
4.0,-0.2635,0.0193,0.3096,0.407
4.02,-0.352,0.0329,0.1582,0.387
4.04,-0.3102,0.0272,0.0257,0.312
4.06,-0.1309,-0.0598,-0.1757,0.227
4.08,-0.0025,-0.044,-0.127,0.134
4.1,0.001,-0.0245,-0.0921,0.095
4.12,-0.0237,0.006,-0.0628,0.067
4.14,-0.0862,0.0072,0.0795,0.117
4.16,-0.105,-0.0042,0.1873,0.215
4.18,-0.099,-0.0138,0.1281,0.162
4.2,-0.1236,0.0297,0.0272,0.13
4.22,-0.0697,-0.0054,-0.0155,0.072
4.24,-0.0184,-0.0317,-0.0347,0.05
4.26,-0.079,-0.0262,0.0597,0.102
4.28,-0.0956,0.0154,0.0693,0.119
4.3,-0.102,0.0181,-0.011,0.104
4.32,-0.0835,-0.0199,-0.0136,0.087
4.34,-0.0585,-0.0346,-0.0262,0.073
4.36,-0.0466,0.0206,-0.0368,0.063
4.38,-0.0764,0.0077,0.0191,0.079
4.4,0.015,-0.0084,-0.0909,0.093
4.42,-0.0744,-0.0077,-0.0157,0.076
4.44,-0.1026,-0.01,0.076,0.128
4.46,-0.0462,-0.0017,0.1084,0.118
4.48,-0.102,-0.0683,0.118,0.17
4.5,-0.1394,0.0068,0.2006,0.244
4.52,-0.1387,0.0655,0.1221,0.196
4.54,-0.0848,0.0432,-0.039,0.103
4.56,-0.0366,0.0228,-0.0395,0.058
4.58,-0.0283,-0.0088,-0.0399,0.05
4.6,-0.0458,0.0073,-0.0393,0.061
4.62,-0.1058,-0.0088,0.0105,0.107
4.64,-0.1109,-0.0757,0.0156,0.135
4.66,-0.0907,-0.0123,-0.0584,0.109
4.68,-0.1059,0.0098,0.0047,0.106
4.7,-0.0622,0.0182,0.0006,0.065
4.72,-0.0263,-0.0019,0.0154,0.031
4.74,-0.0525,-0.006,-0.0068,0.053
4.76,-0.0776,0.0074,-0.0321,0.084
4.78,-0.0694,0.0189,0.0357,0.08
4.8,-0.1512,-0.0253,0.1243,0.197
4.82,-0.1499,-0.0416,0.1358,0.206
4.84,-0.0953,-0.0632,-0.0061,0.115
4.86,-0.02,-0.026,-0.0732,0.08
4.88,-0.0967,0.045,-0.0743,0.13
4.9,-0.109,0.0863,0.0649,0.153
4.92,-0.0627,-0.0047,0.0846,0.105
4.94,-0.0193,-0.0686,-0.0237,0.075
4.96,-0.0851,-0.0287,-0.0181,0.092
4.98,-0.0928,0.0288,0.0506,0.11
5.0,-0.0535,-0.0384,0.0516,0.084
5.02,-0.0698,-0.0177,0.0153,0.074
5.04,-0.1589,-0.0334,0.0871,0.184
5.06,-0.1548,0.0376,0.0744,0.176
5.08,-0.0963,0.0429,-0.0185,0.107
5.1,-0.0059,0.0029,-0.1114,0.112
5.12,-0.0241,-0.0071,-0.0809,0.085
5.14,-0.0613,-0.0228,-0.0112,0.066
5.16,-0.0941,-0.0351,0.0516,0.113
5.18,-0.119,0.0002,0.1091,0.161
5.2,-0.1027,-0.008,0.0636,0.121
5.22,-0.0723,-0.0343,0.033,0.087
5.24,-0.0125,-0.0632,-0.084,0.106
5.26,-0.0201,-0.0083,-0.0392,0.045
5.28,-0.0221,0.0281,0.0793,0.087
5.3,-0.0694,0.0211,0.1581,0.174
5.32,-0.0981,-0.0107,-0.023,0.101
5.34,-0.0099,0.0182,-0.2565,0.257
5.36,-0.0033,0.0892,-0.1351,0.162
5.38,-0.1154,0.0242,0.0533,0.129
5.4,-0.2101,-0.0707,0.0966,0.242
5.42,-0.2443,-0.0793,0.1018,0.276
5.44,-0.1748,0.0467,-0.0647,0.192
5.46,-0.0384,0.0771,-0.1166,0.145
5.48,0.0229,0.0438,-0.117,0.127
5.5,-0.0155,-0.0637,-0.0654,0.093
5.52,-0.1028,-0.0809,0.1165,0.175
5.54,-0.1493,0.0049,0.1104,0.186
5.56,-0.1439,0.0245,0.073,0.163
5.58,-0.0846,0.0164,0.0135,0.087
5.6,-0.0648,0.034,-0.0338,0.081
5.62,0.0016,-0.0143,-0.0509,0.053
5.64,-0.065,-0.0673,-0.0021,0.094
5.66,-0.0634,-0.0394,0.0636,0.098
5.68,-0.1497,0.0531,0.089,0.182
5.7,-0.0998,0.0117,0.022,0.103
5.72,-0.0253,0.0037,-0.0594,0.065
5.74,-0.0307,0.0259,-0.027,0.048
5.76,-0.0072,-0.0507,-0.045,0.068
5.78,-0.0088,-0.0269,-0.0429,0.051
5.8,-0.0778,0.0416,0.1036,0.136
5.82,-0.1592,0.0205,0.234,0.284
5.84,-0.2879,-0.0474,0.1237,0.317
5.86,-0.2136,-0.0758,-0.035,0.229
5.88,-0.0741,-0.0374,-0.1727,0.192
5.9,0.0648,0.0015,-0.2883,0.295
5.92,0.0425,0.0053,-0.184,0.189
5.94,-0.0475,-0.0132,0.1032,0.114
5.96,-0.1397,0.0009,0.1627,0.214
5.98,-0.1457,0.0102,0.0979,0.176
6.0,-0.1001,-0.0163,0.0278,0.105
6.02,-0.0804,-0.0126,-0.0063,0.082
6.04,-0.0925,0.0532,0.0879,0.138
6.06,-0.0993,0.0535,0.062,0.129
6.08,-0.1114,-0.0296,0.003,0.115
6.1,-0.0873,-0.0126,0.0203,0.091
6.12,-0.0884,-0.0441,-0.0118,0.099
6.14,-0.0569,-0.032,-0.0272,0.071
6.16,-0.0722,-0.0009,-0.0826,0.11
6.18,-0.0883,0.0473,-0.0366,0.107
6.2,-0.0783,0.0405,0.0154,0.089
6.22,-0.0832,-0.0029,0.03,0.088
6.24,-0.0943,-0.0508,0.0446,0.116
6.26,-0.0743,-0.0083,0.0301,0.081
6.28,-0.0299,0.0457,-0.004,0.055
6.3,-0.0928,0.0251,0.0188,0.098
6.32,-0.1798,0.0183,0.0915,0.203
6.34,-0.1243,-0.0413,0.0448,0.138
6.36,-0.0149,-0.0476,-0.0365,0.062
6.38,0.0491,-0.0209,-0.0165,0.056
6.4,-0.0032,-0.0205,-0.0344,0.04
6.42,-0.0025,0.0529,-0.1122,0.124
6.44,-0.0226,0.0697,-0.1717,0.187
6.46,-0.0557,-0.0094,-0.1212,0.134
6.48,-0.0085,-0.0279,-0.0439,0.053
6.5,0.0414,-0.0105,-0.1073,0.115
6.52,0.096,0.0464,-0.3105,0.328
6.54,-0.0222,0.0464,-0.3976,0.401
6.56,-0.1185,0.0095,-0.243,0.271
6.58,-0.1998,-0.0269,-0.0575,0.21
6.6,-0.3612,-0.0015,0.1509,0.391
6.62,-0.424,-0.0313,0.2013,0.47
6.64,-0.3735,0.0029,-0.0267,0.374
6.66,-0.2042,-0.0042,-0.1721,0.267
6.68,-0.0296,0.0777,-0.0965,0.127
6.7,0.0157,0.0396,-0.0241,0.049
6.72,-0.0126,-0.0257,0.0647,0.071
6.74,-0.0575,-0.1004,0.1733,0.208
6.76,-0.1098,-0.0649,0.0825,0.152
6.78,-0.1427,0.0237,0.0488,0.153
6.8,-0.1055,0.0165,-0.046,0.116
6.82,-0.0888,-0.0237,-0.065,0.113
6.84,-0.1276,0.0181,-0.0423,0.136
6.86,-0.122,0.0153,-0.0127,0.124
6.88,-0.1142,-0.0009,-0.1448,0.184
6.9,-0.0768,0.0151,-0.103,0.129
6.92,-0.0561,0.0305,-0.1455,0.159
6.94,-0.0744,0.0843,-0.2091,0.237
6.96,-0.0581,0.0538,-0.2258,0.239
6.98,-0.0291,0.0517,-0.1603,0.171
7.0,-0.0065,0.0049,-0.1956,0.196
7.02,0.0195,-0.0373,-0.3586,0.361
7.04,0.0566,-0.0453,-0.2772,0.287
7.06,-0.0467,-0.0254,0.0318,0.062
7.08,-0.2033,-0.0371,0.1312,0.245
7.1,-0.3753,-0.0987,0.0301,0.389
7.12,-0.4259,0.0031,0.2022,0.472
7.14,-0.2914,0.1258,0.1988,0.374
7.16,-0.2017,0.148,0.016,0.251
7.18,-0.1116,0.0805,-0.0142,0.138
7.2,-0.0067,-0.015,-0.0273,0.032
7.22,0.0134,-0.0364,0.078,0.087
7.24,-0.0864,-0.0513,0.1863,0.212
7.26,-0.1819,-0.0528,0.1391,0.235
7.28,-0.1726,-0.0157,-0.0181,0.174
7.3,-0.0755,-0.025,-0.3044,0.315
7.32,-0.0917,-0.0049,-0.3243,0.337
7.34,-0.1311,-0.0355,-0.1777,0.224
7.36,-0.0861,-0.0368,-0.1773,0.2
7.38,-0.0758,0.0327,-0.0706,0.109
7.4,-0.1123,0.0285,0.1304,0.174
7.42,-0.1289,-0.0014,0.1446,0.194
7.44,-0.0312,-0.0163,0.1845,0.188
7.46,-0.0775,-0.1085,0.21,0.249
7.48,-0.0834,-0.081,0.2309,0.259
7.5,-0.0248,-0.0482,0.1736,0.182
7.52,-0.0645,0.0369,0.12,0.141
7.54,-0.1013,0.0138,0.1394,0.173
7.56,-0.0783,0.0236,0.0252,0.086
7.58,-0.0866,-0.0146,-0.1312,0.158
7.6,-0.0513,0.0259,-0.1572,0.167
7.62,-0.0498,0.0256,-0.094,0.109
7.64,-0.078,0.0257,-0.0811,0.115
7.66,-0.1522,0.0998,-0.1709,0.25
7.68,-0.1244,0.1413,0.0598,0.198
7.7,-0.113,0.0608,0.1499,0.197
7.72,-0.0266,-0.0748,0.1939,0.21
7.74,-0.0081,-0.0865,0.2252,0.241
7.76,-0.0066,-0.0506,0.1916,0.198
7.78,-0.0007,-0.0418,0.2042,0.208
7.8,0.0238,-0.0572,0.0552,0.083
7.82,-0.0766,-0.0449,0.0254,0.092
7.84,-0.144,-0.0398,0.0155,0.15
7.86,-0.1672,-0.0178,0.0036,0.168
7.88,-0.0957,-0.0174,-0.1599,0.187
7.9,-0.0206,0.0689,-0.1723,0.187
7.92,-0.0766,0.1026,-0.0187,0.129
7.94,-0.0748,0.0341,-0.0289,0.087
7.96,-0.034,-0.0434,-0.0885,0.104
7.98,0.0089,-0.0657,-0.0603,0.09
8.0,-0.034,-0.0622,-0.0728,0.102
8.02,-0.1439,0.0183,-0.0555,0.155
8.04,-0.0706,0.0555,-0.0399,0.098
8.06,-0.0777,0.0639,0.1512,0.182
8.08,-0.1594,0.0177,0.4076,0.438
8.1,-0.1867,-0.0962,0.4873,0.531
8.12,-0.0632,-0.1264,0.2985,0.33
8.14,0.0559,-0.1191,0.1059,0.169
8.16,0.0305,-0.0182,0.0293,0.046
8.18,-0.0886,0.0895,0.0155,0.127
8.2,-0.1264,0.0819,-0.1365,0.203
8.22,-0.1833,0.0402,-0.1574,0.245
8.24,-0.1877,-0.0243,-0.2089,0.282
8.26,-0.1469,0.0541,-0.2896,0.329
8.28,-0.0938,0.038,-0.2396,0.26
8.3,-0.0949,-0.019,-0.1191,0.153
8.32,-0.0934,-0.0174,-0.0141,0.096
8.34,0.0054,-0.0101,-0.0257,0.028
8.36,-0.0136,0.0112,0.0113,0.021
8.38,-0.1322,-0.0053,0.2037,0.243
8.4,-0.1101,0.0395,0.1776,0.213
8.42,-0.0233,-0.0205,0.0855,0.091
8.44,-0.0563,-0.0253,0.1173,0.133
8.46,-0.1303,-0.0306,0.2029,0.243
8.48,-0.1533,-0.0263,0.0604,0.167
8.5,-0.0932,-0.0223,-0.0675,0.117
8.52,-0.0825,0.0336,-0.1027,0.136
8.54,-0.1319,0.034,-0.0487,0.145
8.56,-0.1506,-0.0464,0.0053,0.158
8.58,-0.1255,-0.0491,0.0222,0.137
8.6,-0.0288,-0.0494,-0.0251,0.062
8.62,0.0187,-0.0047,-0.0279,0.034
8.64,-0.0709,0.0246,0.1089,0.132
8.66,-0.071,0.0033,0.1058,0.127
8.68,-0.0195,-0.0335,-0.0812,0.09
8.7,-0.0426,-0.0356,-0.096,0.111
8.72,-0.1452,-0.0858,0.0852,0.189
8.74,-0.2016,-0.0116,0.1606,0.258
8.76,-0.1631,0.0751,0.0666,0.191
8.78,-0.1427,0.1333,-0.019,0.196
8.8,-0.1664,0.0674,-0.0683,0.192
8.82,-0.1272,0.0223,0.0256,0.132
8.84,-0.0907,0.0142,0.0745,0.118
8.86,-0.036,0.0143,0.0531,0.066
8.88,-0.0441,-0.0719,-0.091,0.124
8.9,-0.0302,-0.058,-0.0623,0.09
8.92,-0.0501,-0.0082,0.047,0.069
8.94,-0.0885,0.0404,0.1133,0.149
8.96,-0.1547,0.0153,0.1389,0.208
8.98,-0.1458,-0.0425,0.0768,0.17
9.0,-0.086,-0.0443,0.0017,0.097
9.02,-0.0614,-0.06,-0.0567,0.103
9.04,-0.0427,-0.0159,-0.0416,0.062
9.06,-0.0904,-0.0027,0.0714,0.115
9.08,-0.1042,-0.047,0.107,0.157
9.1,-0.0812,0.0031,0.1023,0.131
9.12,-0.0574,0.0072,0.0222,0.062
9.14,-0.0208,-0.0201,-0.0152,0.033
9.16,-0.0365,-0.0203,0.0229,0.048
9.18,-0.0502,0.0215,0.0541,0.077
9.2,-0.0814,0.0218,0.0615,0.104
9.22,-0.0931,0.0242,0.0797,0.125
9.24,-0.1152,-0.0066,0.0966,0.15
9.26,-0.0604,0.0337,0.0142,0.071
9.28,-0.0846,0.0371,0.009,0.093
9.3,-0.1117,0.0014,0.0368,0.118
9.32,-0.0834,-0.0108,-0.0038,0.084
9.34,-0.0663,0.0342,0.0183,0.077
9.36,-0.0405,0.0233,0.0455,0.065
9.38,-0.0883,0.0032,0.073,0.115
9.4,-0.1346,0.0355,0.1135,0.18
9.42,-0.1098,0.0081,0.0091,0.11
9.44,-0.051,-0.0482,-0.0695,0.099
9.46,0.0098,-0.0601,-0.0786,0.099
9.48,0.034,0.0568,-0.0387,0.077
9.5,-0.0618,0.0816,0.0034,0.102
9.52,-0.0941,0.0357,0.051,0.113
9.54,-0.0704,-0.0601,0.1188,0.151
9.56,-0.2052,-0.0946,0.2188,0.314
9.58,-0.1708,-0.0387,0.1718,0.245
9.6,-0.0412,0.051,-0.0743,0.099
9.62,0.0482,0.0323,-0.2479,0.255
9.64,-0.0149,0.0831,-0.1996,0.217
9.66,-0.1496,0.0535,0.0557,0.168
9.68,-0.1549,-0.0679,0.0659,0.182
9.7,-0.1161,-0.0544,0.139,0.189
9.72,-0.1474,0.0169,0.1227,0.193
9.74,-0.1516,-0.0096,0.036,0.156
9.76,-0.1178,-0.0149,-0.1067,0.16
9.78,-0.0107,-0.0328,-0.1217,0.126
9.8,-0.0158,0.0009,-0.0374,0.041
9.82,-0.0477,-0.0032,0.0484,0.068
9.84,-0.1051,0.0302,0.1371,0.175
9.86,-0.1322,0.0042,0.0756,0.152
9.88,-0.1065,-0.0203,0.0295,0.112
9.9,-0.0247,-0.0118,-0.0306,0.041
9.92,-0.042,0.0004,-0.0258,0.049
9.94,-0.1058,-0.0029,0.0837,0.135
9.96,-0.1269,0.0095,0.103,0.164
9.98,-0.1057,0.0427,0.0311,0.118
